,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
dz Algeria,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,125,1582,939,570,950,3271,2842,6136,4544,979,844,1203,0,0.0,0.0,2548.0,2361.0,3655.0,1717.0,2955.0,3656.0,2552.0,2945.0,4576
mt Malta,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,95,468,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ci Côte d'Ivoire,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,85,1097,1129,3691,5111,4697,6043,7654,6354,2998,4676,4223,3580.0,5084.0,3805.0,7145.0,9475.0,1867.0,2044.0,4650.0,6857.0,3034.0,278
ph Philippines,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,570,0,0,0,0,0,0,0,0,485,684,0.0,0.0,128.0,901.0,145.0,1065.0,0.0,1840.0,945.0,392.0,987
cl Chile,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,44,0,0,0,1556,2065,2676,2702,0,63,0,3571.0,6993.0,3737.0,4461.0,3551.0,2118.0,1669.0,1578.0,493.0,0.0,0
gw Guinea-Bissau,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,1353,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0
ie Republic of Ireland,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,52.0,,,0
kh Cambodia,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,17,327,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
mx Mexico,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,5100,6155,3130,395,0,2194,896,268,0.0,2966.0,3867.0,2029.0,522.0,0.0,0.0,0.0,0.0,0.0,0
xk Kosovo,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,435,751,794,2156,225,1026,625,90,1221.0,193.0,2519.0,512.0,3373.0,3828.0,3533.0,2551.0,2691.0,3165.0,1866
jm Jamaica,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,106,31,0,0,0,0,0,0,0.0,0.0,1501.0,2215.0,1914.0,1090.0,2583.0,0.0,0.0,0.0,0
tj Tajikistan,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
il Israel,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,2197,1123,1520,2487,389,0,0.0,832.0,3187.0,441.0,125.0,767.0,999.0,1310.0,933.0,23.0,270
ve Venezuela,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,4146,3162,5435,3787,4066,0.0,0.0,0.0,586.0,531.0,367.0,1090.0,328.0,0.0,0.0,0
bo Bolivia,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ec Ecuador,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,625,438.0,60.0,183.0,0.0,55.0,886.0,2084.0,2724.0,3418.0,4454.0,2296
mq Martinique,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
sl Sierra Leone,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1677,897,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
