,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
eng England,,2664.0,37.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1768,2016,0,360.0,0.0,0.0,0.0,468.0,1498.0,6788.0,4531.0,5993.0,4589,8093.0
nir Northern Ireland,,1350.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
sct Scotland,0.0,5157.0,1831.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,753.0,0.0,0.0,0.0,0.0,35.0,350.0,0.0,0,0.0
it Italy,0.0,5932.0,4240.0,4958.0,4382,3126,2824,2593,3543,3064,3113,4005,5172,2153,90,0,4680,5587,12286,9883.0,7225.0,7173.0,6772.0,6263.0,4814.0,7680.0,5731.0,7845.0,2564,1905.0
cz Czech Republic,0.0,5137.0,3689.0,4644.0,0,1988,91,5994,10043,4118,7240,9864,2050,1507,4047,7623,5920,4973,1442,4200.0,2193.0,3489.0,4104.0,4368.0,0.0,0.0,0.0,0.0,0,0.0
si Slovenia,0.0,2624.0,2462.0,1724.0,817,0,0,421,1313,1115,2287,2253,2482,4276,4766,2123,0,0,90,169.0,671.0,1444.0,3256.0,2232.0,740.0,0.0,0.0,1979.0,0,248.0
de Germany,0.0,3150.0,4684.0,3325.0,0,0,1080,0,0,0,0,0,0,5,52,0,0,0,30,1983.0,5218.0,5238.0,2172.0,5772.0,2056.0,5449.0,11356.0,4487.0,3960,2690.0
no Norway,0.0,2591.0,0.0,321.0,3496,3356,0,987,2286,1101,1566,487,0,5544,5243,3521,2152,1572,1817,1072.0,1096.0,2970.0,2421.0,1669.0,2572.0,2328.0,4089.0,2093.0,2995,6354.0
pt Portugal,0.0,2116.0,700.0,5142.0,3946,6482,9263,10517,11833,4967,8148,6731,2692,2516,7317,2610,2218,1997,16454,16759.0,22156.0,21471.0,17805.0,21491.0,14420.0,18239.0,23824.0,26366.0,15652,13832.0
bg Bulgaria,0.0,1900.0,0.0,0.0,0,0,0,3084,2063,9,0,0,18,23,0,0,0,0,763,1745.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0
ie Republic of Ireland,0.0,1595.0,0.0,2804.0,2324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2369,821.0
au Australia,0.0,865.0,103.0,33.0,0,991,2052,948,794,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680.0,464,1032.0
za South Africa,0.0,536.0,245.0,968.0,675,665,0,0,1717,324,0,0,0,0,0,0,0,0,0,0.0,1732.0,617.0,5181.0,4270.0,2249.0,452.0,523.0,435.0,617,0.0
es Spain,0.0,524.0,2160.0,4530.0,598,804,6521,2713,7289,3486,923,111,290,0,394,4314,2520,180,21,,4146.0,1682.0,2313.0,7279.0,6494.0,11763.0,10610.0,13307.0,11155,6972.0
uy Uruguay,0.0,367.0,0.0,583.0,204,0,0,1903,0,3809,5673,3453,3061,3755,2694,2580,789,322,6120,5104.0,5323.0,6561.0,3388.0,3050.0,1703.0,0.0,1637.0,0.0,3796,41.0
re Réunion,0.0,217.0,495.0,1592.0,1549,517,127,1846,1628,0,0,0,130,187,0,0,0,0,14,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
mu Mauritius,0.0,,0.0,0.0,0,0,0,0,1635,0,472,15,0,0,0,0,0,1133,765,1208.0,990.0,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
yu Yugoslavia,0.0,0.0,2654.0,1476.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
mw Malawi,0.0,0.0,1745.0,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
at Austria,0.0,0.0,884.0,0.0,911,582,0,0,0,589,0,0,0,0,0,0,0,0,0,293.0,0.0,0.0,0.0,0.0,90.0,2952.0,4601.0,5946.0,5240,1080.0
gr Greece,0.0,0.0,883.0,2076.0,0,0,0,1935,3921,8022,3556,1866,3038,1995,458,691,0,0,0,0.0,0.0,455.0,876.0,580.0,2150.0,369.0,370.0,7.0,1041,0.0
kr Korea Republic,0.0,0.0,708.0,311.0,0,0,0,0,0,0,1134,0,6,2707,2180,4092,800,0,0,0.0,0.0,224.0,3332.0,1731.0,2016.0,2815.0,2661.0,0.0,1464,1394.0
cg Congo,0.0,0.0,690.0,0.0,366,0,23,458,4426,5249,4169,5044,5222,3490,4496,6071,4024,270,3265,4486.0,5209.0,5817.0,2433.0,2856.0,,495.0,527.0,1603.0,155,1310.0
gh Ghana,0.0,0.0,516.0,3423.0,1830,309,4204,3816,2322,3198,1063,2017,2408,4925,3357,4430,7738,11018,8155,6352.0,3263.0,5385.0,2520.0,5964.0,5180.0,6145.0,10128.0,10617.0,8741,8962.0
al Albania,0.0,0.0,74.0,0.0,826,638,598,270,2597,2651,2571,2860,3035,2237,0,0,0,0,0,67.0,3228.0,2357.0,1951.0,0.0,0.0,0.0,0.0,212.0,0,0.0
ne Niger,0.0,0.0,59.0,0.0,0,0,0,0,0,0,0,0,0,0,1002,602,0,0,0,0.0,0.0,0.0,212.0,1480.0,0.0,0.0,0.0,0.0,0,0.0
fi Finland,0.0,0.0,12.0,374.0,1536,494,2322,2150,1760,1578,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,401.0,14.0,0.0,0.0,878.0,323.0,120,667.0
nc New Caledonia,0.0,0.0,,0.0,0,0,0,12,0,12,0,0,0,0,0,0,450,2213,2882,2308.0,1009.0,1507.0,669.0,3024.0,1869.0,1608.0,0.0,0.0,0,0.0
cl Chile,0.0,0.0,0.0,799.0,4103,1588,90,1009,644,0,0,0,0,0,164,2171,2119,1865,0,0.0,1802.0,0.0,0.0,0.0,1753.0,2089.0,1832.0,6095.0,4124,1962.0
tr Türkiye,0.0,0.0,0.0,200.0,0,0,132,0,173,0,296,67,1970,3063,3389,3710,2647,2315,4681,1599.0,1775.0,1405.0,1.0,4223.0,2918.0,5579.0,8696.0,3096.0,1781,0.0
cn China PR,0.0,0.0,0.0,173.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
pf Tahiti,0.0,0.0,0.0,44.0,513,621,1105,1614,1616,2503,1763,1569,1925,1632,2274,1412,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
mx Mexico,0.0,0.0,0.0,0.0,1938,1130,1623,2610,0,0,0,0,0,0,0,0,3326,3391,3330,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0
ua Ukraine,0.0,0.0,0.0,0.0,1053,1661,110,0,0,0,0,0,0,0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.0,2097.0,25,95.0
co Colombia,0.0,0.0,0.0,0.0,0,6589,2197,3920,3927,6530,3538,3585,7995,6921,9595,8190,8408,5309,10527,2287.0,1329.0,2512.0,3161.0,6609.0,2303.0,0.0,523.0,2490.0,1428,1899.0
py Paraguay,0.0,0.0,0.0,0.0,0,1530,0,0,0,1036,0,0,0,292,108,1513,0,0,0,2260.0,0.0,959.0,2781.0,0.0,0.0,2242.0,0.0,0.0,0,0.0
mr Mauritania,0.0,0.0,0.0,0.0,0,280,90,0,0,0,241,0,294,0,0,0,556,375,543,1012.0,,1749.0,743.0,665.0,4.0,1558.0,696.0,568.0,0,0.0
bf Burkina Faso,0.0,0.0,0.0,0.0,0,0,1406,2714,5706,2090,4239,1206,3488,4050,2034,6134,8988,10421,7525,6348.0,4766.0,4083.0,9115.0,2117.0,1262.0,,3066.0,4814.0,101,450.0
km Comoros,0.0,0.0,0.0,0.0,0,0,60,6,1082,0,0,1503,1139,394,1651,1717,6331,7485,5625,7555.0,2109.0,136.0,462.0,2110.0,1752.0,3130.0,4600.0,5228.0,2236,8.0
ga Gabon,0.0,0.0,0.0,0.0,0,0,9,687,5992,3004,2780,1857,2325,1588,3995,10494,11305,7046,5712,7295.0,7626.0,390.0,470.0,3377.0,6952.0,8750.0,5896.0,3101.0,4872,3203.0
zw Zimbabwe,0.0,0.0,0.0,0.0,0,0,0,1195,1287,2175,815,0,0,0,874,0,0,0,0,0.0,0.0,0.0,0.0,0.0,838.0,3937.0,2391.0,2700.0,3250,2167.0
eg Egypt,0.0,0.0,0.0,0.0,0,0,0,138,1579,0,2855,0,91,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1939.0,2002,2350.0
gw Guinea-Bissau,0.0,0.0,0.0,0.0,0,0,0,33,0,511,1210,637,0,0,914,30,1899,2811,851,1327.0,558.0,1073.0,3941.0,2310.0,3216.0,5489.0,8827.0,2755.0,2400,1117.0
qa Qatar,0.0,0.0,0.0,0.0,0,0,0,3,13,0,0,0,30,92,0,0,0,1995,1892,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
jp Japan,0.0,0.0,0.0,0.0,0,0,0,0,404,361,2609,1807,2468,1085,2451,0,136,0,0,0.0,0.0,3462.0,5089.0,4084.0,1665.0,6850.0,90.0,4758.0,6212,8101.0
sl Sierra Leone,0.0,0.0,0.0,0.0,0,0,0,0,0,2339,0,520,135,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,326.0
lt Lithuania,0.0,0.0,0.0,0.0,0,0,0,0,0,1055,0,0,0,0,0,0,0,0,0,0.0,,,,,0.0,0.0,0.0,0.0,0,0.0
cv Cape Verde,0.0,0.0,0.0,0.0,0,0,0,0,0,16,0,0,0,10,0,0,0,2183,3990,4161.0,1796.0,5661.0,4045.0,5857.0,3913.0,2402.0,176.0,2425.0,2650,90.0
cf Central African Republic,0.0,0.0,0.0,0.0,0,0,0,0,0,0,642,1959,44,1475,292,115,206,1196,4596,4118.0,3403.0,,2829.0,2805.0,0.0,124.0,525.0,0.0,1463,2246.0
